"Territorialidades","IDHM 2010","% de crianças com até 14 anos de idade extremamente pobres 2010"
"Brasil",0.727,0.1147
"Água Branca (AL)",0.549,0.4549
"Anadia (AL)",0.568,0.3126
"Arapiraca (AL)",0.649,0.1769
"Atalaia (AL)",0.561,0.197
"Barra de Santo Antônio (AL)",0.557,0.2588
"Barra de São Miguel (AL)",0.615,0.1365
"Batalha (AL)",0.594,0.2182
"Belém (AL)",0.593,0.2651
"Belo Monte (AL)",0.517,0.5217
"Boca da Mata (AL)",0.604,0.2124
"Branquinha (AL)",0.513,0.1866
"Cacimbinhas (AL)",0.531,0.3442
"Cajueiro (AL)",0.562,0.2406
"Campestre (AL)",0.559,0.2588
"Campo Alegre (AL)",0.57,0.2455
"Campo Grande (AL)",0.524,0.5324
"Canapi (AL)",0.506,0.5744
"Capela (AL)",0.573,0.249
"Carneiros (AL)",0.526,0.4187
"Chã Preta (AL)",0.575,0.3299
"Coité do Nóia (AL)",0.533,0.4561
"Colônia Leopoldina (AL)",0.517,0.3052
"Coqueiro Seco (AL)",0.586,0.2216
"Coruripe (AL)",0.626,0.2207
"Craíbas (AL)",0.525,0.4079
"Delmiro Gouveia (AL)",0.612,0.2413
"Dois Riachos (AL)",0.532,0.4461
"Estrela de Alagoas (AL)",0.534,0.4409
"Feira Grande (AL)",0.533,0.3842
"Feliz Deserto (AL)",0.565,0.2127
"Flexeiras (AL)",0.527,0.2511
"Girau do Ponciano (AL)",0.536,0.5016
"Ibateguara (AL)",0.518,0.3264
"Igaci (AL)",0.564,0.4371
"Igreja Nova (AL)",0.568,0.442
"Inhapi (AL)",0.484,0.5275
"Jacaré dos Homens (AL)",0.583,0.2234
"Jacuípe (AL)",0.548,0.2117
"Japaratinga (AL)",0.57,0.2521
"Jaramataia (AL)",0.552,0.2429
"Jequiá da Praia (AL)",0.556,0.2632
"Joaquim Gomes (AL)",0.531,0.3637
"Jundiá (AL)",0.562,0.2268
"Junqueiro (AL)",0.575,0.2604
"Lagoa da Canoa (AL)",0.552,0.3126
"Limoeiro de Anadia (AL)",0.58,0.339
"Maceió (AL)",0.721,0.098
"Major Isidoro (AL)",0.566,0.311
"Maragogi (AL)",0.574,0.2935
"Maravilha (AL)",0.569,0.4211
"Marechal Deodoro (AL)",0.642,0.1963
"Maribondo (AL)",0.597,0.1911
"Mar Vermelho (AL)",0.577,0.2431
"Mata Grande (AL)",0.504,0.5426
"Matriz de Camaragibe (AL)",0.584,0.2303
"Messias (AL)",0.568,0.1951
"Minador do Negrão (AL)",0.563,0.3637
"Monteirópolis (AL)",0.539,0.416
"Murici (AL)",0.527,0.2489
"Novo Lino (AL)",0.521,0.3075
"Olho D'Água das Flores (AL)",0.565,0.2621
"Olho D'Água do Casado (AL)",0.525,0.411
"Olho D'Água Grande (AL)",0.503,0.5982
"Olivença (AL)",0.493,0.4733
"Ouro Branco (AL)",0.547,0.4172
"Palestina (AL)",0.558,0.4575
"Palmeira dos Índios (AL)",0.638,0.2192
"Pão de Açúcar (AL)",0.593,0.4107
"Pariconha (AL)",0.548,0.4019
"Paripueira (AL)",0.605,0.1679
"Passo de Camaragibe (AL)",0.533,0.3132
"Paulo Jacinto (AL)",0.589,0.2876
"Penedo (AL)",0.63,0.2453
"Piaçabuçu (AL)",0.572,0.3258
"Pilar (AL)",0.61,0.2171
"Pindoba (AL)",0.574,0.3455
"Piranhas (AL)",0.589,0.4179
"Poço das Trincheiras (AL)",0.526,0.566
"Porto Calvo (AL)",0.586,0.1755
"Porto de Pedras (AL)",0.541,0.3164
"Porto Real do Colégio (AL)",0.551,0.4869
"Quebrangulo (AL)",0.559,0.4007
"Rio Largo (AL)",0.643,0.1184
"Roteiro (AL)",0.505,0.2889
"Santa Luzia do Norte (AL)",0.597,0.203
"Santana do Ipanema (AL)",0.591,0.4062
"Santana do Mundaú (AL)",0.519,0.3934
"São Brás (AL)",0.572,0.4752
"São José da Laje (AL)",0.573,0.1463
"São José da Tapera (AL)",0.527,0.5091
"São Luís do Quitunde (AL)",0.536,0.2494
"São Miguel dos Campos (AL)",0.623,0.1616
"São Miguel dos Milagres (AL)",0.591,0.2712
"São Sebastião (AL)",0.549,0.3588
"Satuba (AL)",0.66,0.1217
"Senador Rui Palmeira (AL)",0.518,0.5546
"Tanque D'Arca (AL)",0.555,0.3425
"Taquarana (AL)",0.541,0.3523
"Teotônio Vilela (AL)",0.564,0.2748
"Traipu (AL)",0.532,0.6151
"União dos Palmares (AL)",0.593,0.22
"Viçosa (AL)",0.586,0.4033
